,shot,time,mods,nl_04,bt,ip,p_rf,ssep,zave,q95,numin,xmin,Lne,LTe,a,R
20,1160506009.0,0.7607,u,6.9983448915e+19,-5.46968698502,-1.085542625,0.000302303407807,1.21753358841,3.28553112731,3.55477547646,0.403448967668,0.454032553018,-7.70923557489,0.726350081649,0.217318672369,0.676962927102
21,1160506009.0,1.054,d,8.11573281913e+19,-5.46285629272,-1.078136,0.000302539789118,1.2424325943,2.55117075081,3.53913712502,0.438272477173,0.447474807062,-13.2748858322,0.656140184324,0.217238732026,0.677340942267
22,1160506009.0,1.409,ui,6.47848435897e+19,-5.45992851257,-1.07087125,0.000302303407807,1.46423745155,2.88374405684,3.51376080513,0.383413109082,0.453034143704,-0.887004071333,0.634948016863,0.215824039598,0.676286211129
23,1160506009.0,1.4769,dp,6.51417582582e+19,-5.45797634125,-1.06747225,0.000302303407807,1.48711657524,2.8789807648,3.53741383553,0.220249534721,0.278614546673,-0.00361415811949,1.15292437567,0.216096518729,0.67468323445
24,1160506008.0,0.665,u,5.11613975423e+19,-5.47066307068,-0.796126,8.21865687612e-05,1.0252096653,4.23079371488,4.86848068237,0.520613682621,0.417810506547,-1.10191857122,0.654798305847,0.217498128153,0.679293081136
25,1160506008.0,1.0941,d,5.38199858719e+19,-5.46480798721,-0.7870660625,8.20603308966e-05,1.11433291435,3.94475593808,4.69497871399,0.607697224131,0.427822087065,0.44688552816,0.620260169144,0.217181834444,0.679234449837
26,1160506008.0,1.3966,u,4.62371995329e+19,-5.46090459824,-0.78138625,8.19608103484e-05,1.31864798069,4.23752699932,4.66139936447,0.518567481662,0.406758775737,0.100767979549,0.644028869233,0.215282166951,0.677649239168
27,1160506007.0,0.7453,u,4.92224967476e+19,-5.47066307068,-0.7942054375,8.25214810902e-05,0.921465396881,4.50062268483,4.73241043091,0.448646582349,0.417865830481,-0.66628525327,0.634466167045,0.218769446508,0.678527370877
28,1160506007.0,1.1373,d,5.73043558125e+19,-5.46578359604,-0.785235,8.24042581371e-05,1.0394256115,3.38089387712,4.65752601624,0.48191547411,0.409704916456,3.25562131703,0.584885462587,0.218062022605,0.678909938506
29,1160506007.0,1.3935,ui,4.55667085462e+19,-5.46285629272,-0.781778625,8.25251627248e-05,1.24087917805,4.10239124382,4.64846801758,0.426149937207,0.394641003987,0.921493168351,0.62358908863,0.216494786078,0.677974405352
30,1160506007.0,1.48,dp,4.84193122996e+19,-5.45992851257,-0.77990675,8.26231844258e-05,1.22701895237,3.64000475883,4.67972326279,0.392816642356,0.406709061378,-1.51149632284,0.597373061929,0.215928226011,0.677503944456
31,1160506003.0,1.125,u,7.33299488936e+19,-5.4667596817,-1.07805275,8.3452265244e-05,1.38917350769,2.79030876378,3.61062049866,0.411918563726,0.465997499567,3.22700813605,0.653533873269,0.215261745061,0.676343454165
32,1160506002.0,0.8194,u,7.36413217905e+19,-5.47261476517,-1.085797,0.0,1.30189204216,3.06032248009,3.59961795807,0.410344528623,0.461923719455,1.19070660881,0.660680229964,0.214797312393,0.675762965477
33,1160506001.0,1.3843,u,4.97629858775e+19,-5.46968698502,-0.78458925,0.0,1.26523387432,3.23203567441,4.68543195724,0.351835495976,0.392683968058,-0.323772738331,0.66984241139,0.214396573883,0.677612721978
34,1150903025.0,1.0022,d,6.14940096858e+19,-5.41699075699,-0.813646,0.61468911171,-40.0,3.34398973836,4.54977893829,0.33004787882,0.430139698236,-0.364402268614,0.445213598771,0.217929942469,0.682299036983
35,1150903021.0,1.0614,d,5.27192164028e+19,-5.42186927795,-0.8083349375,9.23321131268e-05,-2.29499268532,2.98034407414,4.46457672119,0.372178611679,0.386515496249,1.47917835466,0.593386878565,0.218393657817,0.680117875867
36,1150901023.0,0.9109,d,6.94122482263e+19,-5.42674922943,-0.813672625,0.61262601614,1.08565092087,2.81538239492,4.53948783875,0.349622769717,0.382128305644,1.17140201138,0.530063477717,0.217543767968,0.679846780226
37,1150901020.0,1.1021,d,5.52197873194e+19,-5.42870044708,-0.8045894375,9.17865181691e-05,1.1164573431,3.39789601201,4.49365186691,0.370834306156,0.394947769171,0.520995655036,0.57945816029,0.216828440019,0.678871075573
38,1150901017.0,0.5901,d,4.87710372733e+19,-5.42870044708,-0.814921125,9.24752966966e-05,1.00555038452,3.43398451296,4.58345222473,0.320783534607,0.396028998436,0.260856690488,0.597128678592,0.218564747691,0.678283633739
39,1150901016.0,1.096,d,8.02143342427e+19,-5.42674922943,-0.8136685625,1.20930981636,1.1132799387,2.59393151828,4.58528709412,0.316682884574,0.37377536422,8.02929637776,0.508293046945,0.217637092895,0.681705356741
40,1150901015.0,1.2841,d,8.18370374835e+19,-5.42577362061,-0.80771575,1.21655368805,1.20025670528,2.63641094762,4.55123138428,0.414255283403,0.37776603115,-13.4599613882,0.504516387434,0.217706801911,0.681377018292
41,1150901008.0,0.7999,u,7.72645644477e+19,-5.42967653275,-0.8211880625,1.19546675682,1.12074053288,2.86388971941,4.6007232666,0.338389062362,0.386130540456,-1.45390888642,0.508429193018,0.216696543858,0.681515421945
42,1150723026.0,0.8249,u,9.4270851532e+19,-5.4140625,-1.096094125,3.99002419726e-05,-0.376559078693,3.0228866331,3.40490531921,0.910618814724,0.459699631786,-2.46283668303,0.554940227951,0.214779278727,0.680814828898
43,1150723025.0,0.9079,u,8.47852063895e+19,-5.41113567352,-1.098591125,3.9499005652e-05,-0.525939464569,3.73563866822,3.28751683235,0.745612562337,0.462306877608,-3.44558009604,0.599333593904,0.213713602625,0.679332122765
44,1150723014.0,1.3996,u,1.06557524537e+20,-5.40918397903,-1.098592125,9.07658832148e-05,-0.342362552881,2.02672118641,3.44909238815,0.219670763592,0.267066337674,-0.037088995044,0.951584002949,0.216673515186,0.683228404037
45,1150630021.0,0.9804,di,6.20487396903e+19,-6.4465212822,-1.004790375,8.94559198059e-05,1.16337430477,4.65383082673,4.38759231567,0.639679591059,0.422054151314,3.22094846966,0.582504658803,0.221058813866,0.680721091625
46,1150630021.0,1.0709,up,6.89153613296e+19,-6.44359302521,-1.009011625,0.803145766258,1.29864907265,4.16138834243,4.3099322319,0.544599436859,0.411305772052,-4.6760574512,0.609267877972,0.220282680086,0.681149362711
47,1150630020.0,1.0935,u,6.62913328494e+19,-6.44700908661,-1.0083925625,0.805708050728,1.30518841743,3.86955481272,4.36227083206,0.512287434306,0.409943000051,-1.46332861826,0.577283347279,0.22052176745,0.680933389606
48,1150630020.0,1.3423,u,5.68621674202e+19,-6.44261789322,-1.006818625,0.815951168537,1.52903914452,3.9810397849,4.35558128357,0.416792130028,0.406906885367,-0.663505615644,0.577063887131,0.221795359494,0.680854559126
49,1150617017.0,1.1377,u,9.3313915776e+19,-5.43943548203,-1.18915175,3.972491686e-05,1.47440421581,3.35269942435,3.1679558754,0.648076354222,0.458397179933,-2.91583064428,0.630500182115,0.219550566604,0.679299251341
50,1150617017.0,1.4098,d,9.10108699244e+19,-5.43455600739,-1.183977625,4.01039033022e-05,1.64990699291,2.44946949195,3.11200809479,0.619244094288,0.44784342875,-0.747026947525,0.619962501926,0.219689312777,0.679126544052
51,1150617014.0,1.2078,u,9.48889617848e+19,-5.43553161621,-1.18867275,4.04538004659e-05,1.58007490635,3.29588504477,3.23702836037,0.698450295671,0.473506735949,2.94464115222,0.57776075038,0.219301370852,0.679510754425
52,1150617014.0,1.3851,d,9.38069895665e+19,-5.4326043129,-1.188196875,4.01184079237e-05,1.69173920155,2.55808227012,3.22771239281,0.63833112123,0.45760666753,-2.44909860013,0.518596120581,0.219257097762,0.679473113924
53,1150617008.0,0.948,u,9.4674715347e+19,-5.44236278534,-1.195103375,4.01208635594e-05,1.27498674393,3.1975945691,3.29365420341,0.604557633377,0.469003188218,-5.60234145814,0.630033246319,0.218120738944,0.678755307418
54,1150617007.0,0.9727,u,9.09579790171e+19,-5.44431447983,-1.194167125,3.97745534428e-05,1.25505900383,3.20988292425,3.2886929512,0.635513111691,0.472725330308,2.98069124227,0.553516339062,0.219124461538,0.67903206133
