shot,reversals,low_confidence,ar_signal,tmax,nl_04,nl_04_r,bt,bt_r,ip,ip_r,p_rf,p_rf_r,p_rf_t,ssep,ssep_r,vel,vel_r,lbo,cryopump
1140402030,,,2551.29577637,1.5,7.49136898403E+019,7.10170850628E+019,5.4570007324,0.0800199509,0.7916199375,0.0344606656,0,0,0,-1.1470272541,0.3570043743,22.3044424057,27.3850829244,9,0
1140402029,,,5153.86303711,1.5,2.98224035249E+019,7.55023793609E+018,5.4599285126,0.0790452957,0.79788475,0.0163818531,0,0,0,-1.2099311352,0.3070796132,9.4918117523,6.0308826208,1,0
1140402023,,,5128.40722656,1.5,2.93211669601E+019,1.37063687954E+019,5.4072322846,0.0780687332,0.7938965313,0.0145296625,0,0,0,-1.2466033697,0.2662879825,11.0109424591,6.4089222908,1,0
1140402022,,,5810.41308594,1.5,5.44557300922E+019,1.15524925868E+019,5.3974733353,0.0146374702,0.790446875,0.0269425406,0,0,0,2.3692896366,38.2405239344,3.3399829865,15.0850789011,1,0
1140402021,,,4976.44848633,1.5,3.12428746914E+019,8.33790596605E+018,5.4111356735,0.0136618614,0.7982876875,0.0197525,0,0,0,-1.6768260002,38.9257670641,4.8078520298,6.4623649657,1,0
1140402020,1.4285u,,8016.40087891,1.5,4.13646961622E+019,1.37735768835E+019,5.439435482,0.0780696869,0.79659125,0.0194312906,0,0,0,-1.2171709538,0.249809742,11.913807869,10.1378787994,1,0
1140402019,,,7213.33203125,1.5,5.352165978E+019,4.92509323173E+018,5.4433383942,0.079044342,0.7958297188,0.0160257281,0,0,0,-1.195142746,0.2869185209,22.322511673,6.9567858696,1,0
1140402018,,,5545.33764648,1.5,5.86301337392E+019,4.89504665758E+018,5.4491939545,0.0770926476,0.7947308125,0.0157434531,0,0,0,-1.2020637989,0.2309502959,23.8867502213,5.4570329666,1,100.916992188
1140402016,,,3546.90014648,1.5,6.88542108909E+019,5.40838246821E+018,5.4530978203,0.0761170387,0.7921068125,0.0160543125,0,0,0,-1.1894600391,0.3281068206,22.1538009644,8.1123702049,1,0.8813476563
1140402014,,,2359.28356934,1.5,8.21561069617E+019,1.25043582748E+019,5.4501695633,0.0780682564,0.7859065,0.0194601813,0,0,0,-1.235722661,0.301826179,15.7408227921,11.1819041252,2,1.4150390625
1140402012,,dweak drift,1539.31018066,1.5,9.37920625966E+019,1.59122958845E+019,5.4521217346,0.0790452957,0.7848901875,0.0194499313,0,0,0,-1.1698465347,0.4314175546,29.4632663727,15.9555342674,1,1.9497070313
1140402011,,dweak drift,1308.71606445,1.448499918,1.02605818174E+020,2.58384827907E+019,5.4560251236,0.0780687332,0.7800305938,0.0214021094,0,0,0,-1.2528998256,0.584948805,19.5999860764,20.1149878025,1,2.2583007813
1140402010,,locked,4389.47973633,1.5,3.82491859845E+019,8.58579218194E+018,5.4384589195,0.0126857758,0.7958399375,0.0225750406,0,0,0,-1.5995537043,19.7507389784,-1.0076179802,18.1058453083,2,0.38671875
1140402009,,dweak drift,1941.71563721,1.4084999561,1.0949167247E+020,2.79017735348E+019,5.4667596817,0.0761165619,0.7786355625,0.0212620938,0,0,0,-1.260974288,0.5426746011,15.9707026482,17.6847109795,1,2.53515625
1140402006,,,669.892028809,1.5,9.44150150986E+019,1.92301716172E+019,5.4667596817,0.0780682564,0.7856824375,0.0197526031,0,0,0,-1.3067491055,0.4142736793,30.8485546112,18.9011554718,1,6.3623046875
1140328030,,,6854.64916992,1.0484999418,3.81476878671E+019,1.22201459539E+019,5.4101595879,0.0087823868,0.9842756875,0.1287053,0,0,0,-1.2836822867,38.8412485361,7.8960011005,8.4961916924,630,1.5673828125
1140328029,,,5433.27954102,1.5,5.08822799872E+017,3.20373478119E+018,5.409183979,0.0126862526,0.9833383125,0.1121131656,0,0,0,-1.2384094,39.0486847758,7.7884147167,5.8132890701,1,0.2412109375
1140328027,,,5555.7097168,1.5,4.11867533994E+019,1.50125593622E+019,5.4052801132,0.0107345581,0.979273625,0.1738333375,0,0,0,-1.2485363483,39.781994991,4.5763123035,22.6735425457,1,0.37890625
1140328025,,,1938.87719727,1.2284998894,2.93184885498E+019,5.74995894952E+018,5.4043045044,0.0117106438,0.7879499375,0.0851703594,0,0,0,-1.6673570871,38.9118323565,2.9489674568,24.9613291264,0,0.7270507813
1140328023,,,4194.45288086,1.5,4.88663891206E+019,1.5790929592E+019,5.4043045044,0.0126862526,0.9811484375,0.0479151219,0,0,0,-1.2568151951,39.4066502154,17.7405500412,19.0341121674,1,0.43359375
1140328022,,ddrift,7935.75488281,1.5,6.9697316407E+019,1.25969342951E+019,5.4082083702,0.0126852989,0.9849071563,0.0566892063,0,0,0,-1.2030738592,39.22476089,29.3810348511,27.2957576752,1,0.1850585938
1140328020,,,6010.95532227,1.5,8.60622627569E+019,4.69256662153E+019,5.4101595879,0.0146379471,0.9808393125,0.0685596875,0,0,0,-1.2545452118,39.6702392399,36.6563053131,5.6337942123,1,0.2421875
1140328016,,,7228.60546875,1.5,6.64684157941E+019,3.75531237658E+019,5.44724226,0.0117106438,0.98374375,0.0463700875,0,0,0,-1.2429997921,0.4071659148,10.3438429832,8.2793477774,1,0.1860351563
1140328015,,,4592.7980957,1.5,8.311098883E+019,5.68565161503E+019,5.4433383942,0.0136623383,0.9768597188,0.16690075,0,0,0,-1.1827673912,40.0080562271,27.1466665268,23.3273170471,1,1.3247070313
