,Column1,Shot Number,Pulse Time,Ip,Ip Slope,Bt,Bt Slope,nl_04,nl_04 Slope,RF,LSN/USN,HIREX Time,Zvel,Zvel Slope,Zint,Zint Slope,Zti,Zti Slope,Avel,Avel Slope,Aint,Aint Slope,Ati,Ati Slope,nl_04 peak,nl_04 tt peak,Ip peak,Ip tt peak,Zint max,Zint tt max,Zvel max,Zvel tt max,Zti max,Zti tt max,Zint min,Zint tt min,Zvel min,Zvel tt min,Zti min,Zti tt min,Aint max,Aint tt max,Avel max,Avel tt max,Ati max,Ati tt max,Aint min,Aint tt min,Avel min,Avel tt min,Ati min,Ati tt min,poh max,ti jump,poh abs max,ti abs max,poh0,ti0,li0,li0 peak
20,28,1120106017,0.800000012,-0.815862455,0.023533779,-5.424570271,0.022115976,0.430799911,0.091885637,4.94e-05,LSN,20,17.63723272,55.46094937,5228.648569,5645.233701,1.235909955,0.222542856,20.42024854,37.38334584,2452.994221,969.0987884,1.248884892,-0.550727317,0.110315492,0.022000074,-0.020986536,0.011499941,487.4363916,0.028499901,1.275164662,0.068499923,0.127267583,0.048499942,76.18834477,0.048499942,-6.932420673,0.00849992,-0.039725081,0.00849992,542.9044606,0.028499901,4.204694244,0.00849992,0.194183851,0.048499942,142.9879567,0.068499923,-3.658827332,0.048499942,-0.000262236,0.00849992,0.427615634941,0.159367398157,1.26597571588,1.13994652316,0.83836008094,1.04396783691,1.57386434078,0.0
21,29,1120106017,1.0,-0.811263954,0.020786216,-5.422213411,0.011605127,0.433695683,-0.111262928,0.000100526,LSN,20,17.01182331,14.44541401,5299.95634,3106.692416,1.270183084,0.313034952,30.23705818,153.2310993,2484.672462,-431.6593472,1.316364645,0.604218821,0.103659501,0.020500183,-0.020463025,0.011700034,642.4684647,0.00849998,-1.13297237,0.068499923,0.144813301,0.028499961,321.4079178,0.068499923,-5.651939045,0.028499961,-0.061182139,0.00849998,697.4413072,0.028499961,-5.370597381,0.00849998,0.108098627,0.068499923,420.072899,0.048499942,-14.31797268,0.048499942,-0.050718664,0.00849998,0.439729910696,0.175246892259,1.28884805811,1.16737970034,0.849118147415,1.05856519069,1.53461849689,0.0537700653076
22,30,1120106017,1.200000048,-0.805507279,0.024458151,-5.418795029,0.02833139,0.426266945,-0.194337342,0.000102404,LSN,20,14.01148308,-27.75595451,5498.927724,852.7840164,1.280665843,0.494912739,29.97156602,237.5586868,2739.535953,1773.774885,1.322226589,0.048378156,0.130785131,0.026000023,-0.023482538,0.011099935,3120.423838,0.028499842,-1.516611942,0.008499861,0.093606385,0.028499842,1017.399424,0.068499923,-6.695738681,0.048499823,-0.068733303,0.008499861,1798.915707,0.028499842,-9.005656065,0.008499861,0.140549834,0.028499842,537.2975427,0.068499923,-22.77473003,0.048499823,-0.066650813,0.008499861,0.594738280779,0.18969656014,1.45539898096,1.16940345955,0.860660700179,1.06509845076,1.65713775158,0.0
23,31,1120106017,1.399999976,-0.80173523,0.033050041,-5.416064179,0.010243003,0.423277244,-0.180179699,0.000100106,LSN,20,13.54865693,-58.42102391,5670.771515,-1771.433517,1.272195349,-0.586625598,15.66042372,-106.4177265,2812.082483,1715.327604,1.300397573,-0.280358951,0.099924639,0.021000028,-0.019092329,0.012300015,1519.210419,0.00849998,-0.421698079,0.048499942,0.104368081,0.028499961,788.2904967,0.068499923,-3.72447537,0.00849998,-0.019407282,0.00849998,1115.944861,0.00849998,1.951598681,0.048499942,0.148737134,0.048499942,437.2712766,0.068499923,-4.161012136,0.028499961,-0.010573922,0.00849998,0.489279168229,0.158729995216,1.38482243299,1.17949050439,0.895543264761,1.05851265454,1.65969407558,0.0
24,40,1120106020,0.800000012,-0.812741251,0.040367932,-5.430343685,0.025544076,0.352380122,0.049456287,0.000101733,LSN,20,11.74169474,7.220001242,6123.806037,244.5083464,1.178500925,-0.200304058,18.87849232,190.6333341,3437.753609,325.1772605,1.288152579,0.924089183,0.088046198,0.017500043,-0.017539889,0.012499988,471.9830255,0.00849992,1.89023561,0.068499923,0.152834381,0.028499901,310.3516779,0.028499901,-3.03582602,0.00849992,0.009652461,0.00849992,1120.851372,0.00849992,3.622255363,0.00849992,0.124032494,0.028499901,296.1772996,0.068499923,-1.757631264,0.068499923,-0.084178809,0.00849992,0.323085966885,0.15023895529,1.21567070724,1.17371307498,0.89258474036,1.07396689232,1.57095432281,0.0
25,41,1120106020,1.0,-0.808662465,0.030506139,-5.429584175,0.007843404,0.350663378,-0.029541241,9.97e-05,LSN,20,11.88455299,-45.97470376,6347.188366,1247.620819,1.233845269,-0.049483823,13.1974447,52.6338364,3547.287524,-891.0042677,1.294949177,0.820369311,0.109912233,0.022000074,-0.0222271,0.013100028,1792.591908,0.00849998,3.595143279,0.068499923,0.140855992,0.028499961,28.48839231,0.068499923,-2.989113847,0.00849998,-0.036309039,0.00849998,1859.350172,0.00849998,7.515983797,0.00849998,0.136430856,0.048499942,251.0225351,0.068499923,-7.757263922,0.028499961,-0.065359953,0.00849998,0.553597706215,0.207516965023,1.41075837136,1.23682137358,0.857160665142,1.08948084488,1.55585408211,0.0802036523819
26,42,1120106020,1.200000048,-0.802083789,0.035086583,-5.42798407,-0.0269631,0.346706032,-0.154277398,9.87e-05,LSN,20,15.41864085,58.15749946,6564.677091,5285.49088,1.256123244,-0.304037623,4.351125913,-175.0491381,3701.350152,-539.0202894,1.29094837,-0.442579811,0.113359214,0.022500038,-0.021604239,0.011899948,2418.562167,0.028499842,-0.048383471,0.048499823,0.168461622,0.028499842,1509.394687,0.068499923,-4.694847819,0.008499861,-0.012319266,0.008499861,2320.749457,0.028499842,22.07512264,0.068499923,0.167555472,0.028499842,1097.506293,0.068499923,2.074080748,0.008499861,-0.03481994,0.008499861,0.614962306346,0.182825474052,1.48394122098,1.2348962086,0.868978914635,1.09506346047,1.68490600586,0.0
27,43,1120106020,1.399999976,-0.79888583,0.034158115,-5.425557984,-0.002591775,0.353091538,-0.111988361,9.91e-05,LSN,20,13.22259483,-14.95919776,7936.563896,17178.66047,1.28624625,0.07715507,7.139996021,-129.7174592,4582.397752,7385.272307,1.303302222,-1.064694183,0.09533912,0.0200001,-0.021543808,0.011299968,1792.719307,0.00849998,3.28885498,0.068499923,0.118185928,0.028499961,708.0503617,0.068499923,-3.029484368,0.00849998,-0.036693881,0.00849998,2455.650099,0.00849998,16.25373414,0.048499942,0.138541765,0.028499961,686.1408221,0.068499923,-1.571799724,0.00849998,-0.007174545,0.00849998,0.685272870843,0.162751929832,1.48038260341,1.25825344373,0.795109732567,1.12402627083,1.69293153286,0.0
28,44,1120106021,0.800000012,-0.813070469,0.029396042,-5.425734365,0.045328048,0.33776818,-0.112710693,0.000101733,LSN,6,11.16058308,5.131871841,1190.74883,492.359333,1.216949323,0.730562617,6.805290522,-8.649220912,702.5563114,503.5583468,1.289050623,0.476622534,0.070081698,0.013500035,-0.015374237,0.00850004,89.3939919,0.007499993,11.52355807,0.037499964,0.119561574,0.031499982,-47.94048075,0.043500006,-8.397838181,0.013499975,-0.042150357,0.007499993,264.1413204,0.013499975,55.4384076,0.055499971,0.141391353,0.055499971,-43.87229043,0.049499989,-7.9660576,0.049499989,-0.112926169,0.001500011,0.108533919365,0.17765223484,1.04854291745,1.16262919065,0.940008998084,1.07649086317,1.55913519859,0.019807100296
29,45,1120106021,1.0,-0.807688582,0.047721214,-5.425023264,0.010843923,0.344169263,0.035288097,0.000100445,LSN,6,9.217234229,-60.90482073,1260.348005,1345.461893,1.188032635,-1.266838351,5.557631728,-57.08131834,746.3522693,977.3557476,1.225891853,-0.559594755,0.112688985,0.020500183,-0.022206951,0.008700013,508.8694026,0.017500043,9.158984567,0.059499979,0.257357828,0.03550005,38.42225908,0.059499979,-4.968063925,0.011500001,-0.001047857,0.005499959,455.2221936,0.017500043,80.01641155,0.041499972,0.283749914,0.041499972,-9.773289782,0.041499972,-9.451139208,0.029500008,0.027127122,0.005499959,0.625633257452,0.233390543577,1.58130905114,1.23426162993,0.955675793684,1.03363787567,1.60669803619,0.0790481567383
